,Month_year,Country,Balance,Combustible Renewables,Hydro,Other Renewables,Solar,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",Wind,value_CDD_18,value_CDD_21,value_Global_Horizontal_Irrandiance,value_HDD_16,value_HDD_18,value_Heat_index,value_Relative_Humidty,value_Temperature,value_Total_Precipitation,"total target (wind, solar, hydro)"
82,2012-04-01,Ireland,Net Electricity Production,40.748,16.11,0.0,0.057,418.278,361.363,0.0,0.0,637562.0,267.3,327.3,7.091,77.42,7.251,0.1292,377.53000000000003
83,2012-04-01,Italy,Net Electricity Production,868.631,2960.509,0.0,1601.991,7240.304,1371.005,1.248,0.004659,760715.0,112.9,167.8,12.45,75.24,12.09,0.1654,5933.505
84,2012-04-01,Japan,Net Electricity Production,1103.637,8732.706,0.0,574.401,10999.837,383.372,3.892,0.3821,765486.0,115.7,166.0,12.6,71.88,11.59,0.1988,9690.479
85,2012-04-01,Korea,Net Electricity Production,93.358,671.496,0.0,122.586,963.523,76.083,3.895,0.1744,816621.0,118.1,170.4,12.45,66.06,12.0,0.2113,870.165
86,2012-04-01,Latvia,Net Electricity Production,5.826,747.144,0.0,0.0,764.489,11.519,0.0,0.0,608925.0,291.8,351.5,6.283,67.98,6.058,0.08673,758.663
87,2012-04-01,Lithuania,Net Electricity Production,7.293,53.915,0.0,0.309,98.627,37.11,2.34,0.0,628039.0,263.3,319.1,7.443,67.65,7.327,0.08741,91.334
88,2012-04-01,Luxembourg,Net Electricity Production,9.712,93.065,0.0,4.585,111.494,4.132,0.009221,0.0,607007.0,253.1,311.5,7.615,75.21,7.468,0.1543,101.782
89,2012-04-01,Mexico,Net Electricity Production,68.94,2659.647,0.0,6.19,3471.244,305.595,105.0,51.29,1087989.0,7.941,22.64,20.92,47.49,22.18,0.02889,2971.432
90,2012-04-01,Netherlands,Net Electricity Production,636.184,7.878,0.0,22.657,1051.537,384.818,0.0,0.0,598583.0,234.5,294.4,8.186,78.33,8.065,0.1234,415.35299999999995
91,2012-04-01,New Zealand,Net Electricity Production,52.336,1555.234,0.0,0.357,2261.323,162.068,2.517,0.0,471885.0,55.57,103.0,14.65,79.74,12.53,0.1039,1717.6589999999999
92,2012-04-01,Norway,Net Electricity Production,27.666,11658.556,0.0,0.0,11770.568,84.346,0.0,0.0,570102.0,386.5,446.5,3.116,74.59,0.1989,0.1184,11742.902
93,2012-04-01,Poland,Net Electricity Production,766.217,293.891,0.0,0.119,1405.494,345.267,8.424,1.215,646676.0,219.7,272.5,9.197,67.07,8.964,0.07075,639.277
94,2012-04-01,Portugal,Net Electricity Production,153.765,428.145,0.0,24.911,1725.583,1107.595,0.0,0.0,753794.0,120.6,180.3,11.99,74.05,12.3,0.09689,1560.651
95,2012-04-01,Slovak Republic,Net Electricity Production,66.318,421.961,0.0,47.707,536.486,0.5,7.163,1.515,692646.0,189.7,243.0,10.14,63.09,9.865,0.0705,470.168
96,2012-04-01,Slovenia,Net Electricity Production,27.872,281.543,0.0,12.985,322.4,0.0,1.762,0.01382,673922.0,175.2,229.6,10.41,70.96,10.09,0.1817,294.528
97,2012-04-01,Spain,Net Electricity Production,294.397,2085.097,0.0,847.241,8516.853,5290.118,0.6946,0.002593,787158.0,113.6,169.0,12.39,68.19,11.12,0.1306,8222.456
98,2012-04-01,Sweden,Net Electricity Production,1001.643,6468.92,0.0,2.386,7994.482,521.533,0.0,0.0,534913.0,355.0,415.0,4.166,75.03,1.306,0.09111,6992.839
99,2012-04-01,Switzerland,Net Electricity Production,114.927,2445.368,0.0,24.942,2592.57,7.333,0.6991,0.0,688856.0,269.9,327.6,7.104,76.29,4.224,0.2239,2477.643
100,2012-04-01,United Kingdom,Net Electricity Production,1174.426,482.671,0.333,118.821,3185.117,1408.866,0.0,0.0,579767.0,265.9,325.9,7.137,79.79,6.65,0.164,2010.358
101,2012-04-01,United States,Net Electricity Production,4665.493,27552.461,0.0,796.931,47131.713,12879.389,36.52,13.73,847449.0,99.04,137.6,14.63,58.31,10.19,0.07961,41228.781
102,2013-04-01,Australia,Net Electricity Production,246.108,1417.845,0.0,239.573,2485.772,582.163,40.9,11.25,760263.0,23.48,47.93,17.79,47.54,23.29,0.0292,2239.581
103,2013-04-01,Austria,Net Electricity Production,370.549,3817.434,0.0,70.586,4466.775,208.182,1.504,0.0,692576.0,215.2,270.6,9.031,73.91,7.32,0.08793,4096.202
104,2013-04-01,Belgium,Net Electricity Production,449.045,132.296,0.0,318.05,1202.788,303.397,0.0,0.0,603361.0,226.8,284.8,8.508,69.67,8.256,0.05094,753.7429999999999
105,2013-04-01,Canada,Net Electricity Production,723.459,30703.256,2.39,116.72,33297.41,1751.585,0.0008316,0.0,696913.0,355.9,415.9,4.138,72.12,-7.677,0.06918,32571.561
106,2013-04-01,Chile,Net Electricity Production,427.91,1302.255,0.0,0.477,1768.657,38.015,0.3383,0.01377,573603.0,94.63,151.5,12.96,65.36,10.42,0.1707,1340.747
107,2013-04-01,Czech Republic,Net Electricity Production,281.995,328.993,0.0,213.39,854.505,30.127,0.5017,0.0,614483.0,223.0,279.5,8.7,72.08,8.401,0.06288,572.51
108,2013-04-01,Denmark,Net Electricity Production,370.048,1.0,0.0,65.587,1324.509,887.874,0.0,0.0,671994.0,313.0,373.0,5.567,77.04,5.312,0.04957,954.461
109,2013-04-01,Estonia,Net Electricity Production,45.816,3.033,0.0,0.0,99.799,50.95,0.0,0.0,611575.0,384.8,444.8,3.172,76.16,3.031,0.05564,53.983000000000004
110,2013-04-01,Finland,Net Electricity Production,1002.072,1100.0,0.0,0.606,2161.678,59.0,0.0,0.0,553431.0,425.4,485.4,1.819,73.81,0.782,0.06201,1159.606
111,2013-04-01,France,Net Electricity Production,347.509,7325.312,34.042,651.163,9880.825,1516.031,0.2476,8.07e-05,674992.0,182.4,238.9,10.04,71.6,9.798,0.129,9492.506
112,2013-04-01,Germany,Net Electricity Production,3261.967,2538.164,0.0,3314.518,12692.175,3574.914,0.03533,0.0,592620.0,226.9,284.9,8.506,71.42,8.127,0.07274,9427.596000000001
113,2013-04-01,Greece,Net Electricity Production,11.907,899.477,0.0,282.376,1509.573,315.813,11.45,0.7717,920430.0,37.22,77.76,15.79,69.32,15.36,0.04296,1497.666
114,2013-04-01,Hungary,Net Electricity Production,130.379,5.021,0.0,2.902,192.428,54.126,12.83,1.249,753004.0,130.1,175.8,12.57,64.22,12.63,0.06164,62.049
115,2013-04-01,Iceland,Net Electricity Production,0.0,1042.219,0.0,0.0,1483.454,0.235,0.0,0.0,604339.0,452.4,512.4,0.9194,76.27,-1.652,0.1086,1042.454
116,2013-04-01,Ireland,Net Electricity Production,43.812,74.637,0.0,0.067,565.3,446.784,0.0,0.0,620041.0,263.3,323.3,7.222,76.05,7.254,0.1247,521.488
117,2013-04-01,Italy,Net Electricity Production,1176.382,4915.215,0.0,2075.354,9943.508,1337.319,2.535,0.1135,800114.0,88.78,140.3,13.41,74.41,13.01,0.1253,8327.887999999999
118,2013-04-01,Japan,Net Electricity Production,1202.723,7710.02,0.0,1321.068,11020.16,595.439,1.961,0.2342,773222.0,121.1,174.3,12.25,68.43,11.02,0.2126,9626.527
119,2013-04-01,Korea,Net Electricity Production,99.534,675.355,40.25,177.588,1088.394,95.667,0.2751,0.0,823185.0,174.9,233.4,10.23,64.39,9.959,0.1122,948.61
120,2013-04-01,Latvia,Net Electricity Production,17.833,573.333,0.0,0.007,603.367,12.194,0.0,0.0,592553.0,354.1,414.1,4.197,74.06,4.147,0.07083,585.534
121,2013-04-01,Lithuania,Net Electricity Production,22.196,125.357,0.0,5.029,207.582,55.0,0.0,0.0,586940.0,320.5,380.5,5.316,73.15,5.183,0.07357,185.386
122,2013-04-01,Luxembourg,Net Electricity Production,6.426,102.288,0.0,8.832,124.811,7.265,0.0,0.0,605962.0,234.5,294.1,8.198,70.13,8.04,0.09153,118.38499999999999
123,2013-04-01,Mexico,Net Electricity Production,98.628,1862.832,0.0,9.554,2768.22,347.324,115.0,55.2,1091257.0,2.691,10.7,21.72,46.4,22.06,0.01976,2219.71
124,2013-04-01,Netherlands,Net Electricity Production,494.607,11.928,0.0,52.244,1035.279,476.5,0.0,0.0,626235.0,242.7,302.4,7.921,73.51,7.611,0.0423,540.672
125,2013-04-01,New Zealand,Net Electricity Production,51.829,1387.724,0.0,0.511,2077.433,178.487,4.681,0.0,426609.0,46.54,85.43,15.31,80.06,12.82,0.1693,1566.722
126,2013-04-01,Norway,Net Electricity Production,24.772,9063.128,0.0,0.0,9227.784,139.884,0.0,0.0,586165.0,395.3,455.3,2.822,73.25,0.3911,0.1328,9203.012
127,2013-04-01,Poland,Net Electricity Production,654.804,348.94,0.0,0.119,1422.318,418.455,0.6956,0.023,624272.0,241.2,298.5,8.072,71.85,7.775,0.06497,767.514
128,2013-04-01,Portugal,Net Electricity Production,151.081,2279.8,0.0,43.865,3562.721,1073.475,0.5007,5.578e-05,862622.0,81.86,136.6,13.46,70.71,13.7,0.08292,3397.1400000000003
129,2013-04-01,Slovak Republic,Net Electricity Production,76.207,508.883,0.0,66.16,651.75,0.5,3.62,0.03835,704532.0,183.2,234.9,10.29,67.09,10.01,0.05664,575.543
130,2013-04-01,Slovenia,Net Electricity Production,21.372,547.572,0.0,22.007,591.303,0.352,0.9958,0.0,687388.0,152.6,207.8,11.11,71.06,10.77,0.102,569.931
131,2013-04-01,Spain,Net Electricity Production,379.444,5692.09,0.0,1045.358,11264.746,4147.854,4.099,0.4551,842367.0,97.79,148.2,13.2,67.64,12.2,0.1002,10885.302
