,Month_year,Country,Balance,Combustible_Renewables,Hydro,Other_Renewables,Solar,Total_Renewables__Hydro__Geo__Solar__Wind__Other_,Wind,value_CDD_18,value_CDD_21,value_Global_Horizontal_Irrandiance,value_HDD_16,value_HDD_18,value_Heat_index,value_Relative_Humidty,value_Temperature,value_Total_Precipitation,total_sol_wind_hyd
977,2020-08-01,Austria,Net Electricity Production,368.9046,4242.5985,0.0,216.8747,5188.2602,359.8766,0.14911996294580823,0.049926448955575166,0.5652740718979178,0.017280232039268185,0.03301335559265442,0.6531945294958156,0.7046580773042616,0.7573640483383686,0.32221389305347325,4819.3498
978,2020-08-01,Belgium,Net Electricity Production,435.4358,77.4436,0.0,592.2745,1767.0507,661.8968,0.22371468272348308,0.13501029714621948,0.5918387275272061,0.005050200803212852,0.019908180300500834,0.6832006531945296,0.5741658407664355,0.8128776435045317,0.09690154922538731,1331.6149
979,2020-08-01,Brazil,Net Electricity Production,6471.4646,31141.6866,0.0,999.2156,45503.9237,6891.5569,0.2908754052802223,0.19385113268608414,0.6720526535861743,0.011535029004908524,0.023267946577629383,0.7056542151459482,0.4747274529236868,0.8961480362537764,0.06544227886056972,39032.4591
980,2020-08-01,Bulgaria,Net Electricity Production,141.8548,234.3304,0.0,169.0385,623.7218,78.4981,0.3367299675775822,0.19676375404530744,0.72801545021537,7.802320392681839e-05,0.0012249582637729548,0.7268830373545623,0.4806739345887018,0.8608383685800605,0.06715392303848075,481.86699999999996
981,2020-08-01,Canada,Net Electricity Production,821.561,29520.4114,0.0,489.202,33136.5586,2305.3842,0.13832792959703566,0.046425419240953225,0.5038187370583999,0.01571842927264614,0.0338585141903172,0.6495203102674016,0.7101090188305251,0.6623867069486404,0.14692653673163417,32314.997600000002
982,2020-08-01,Chile,Net Electricity Production,358.869,1809.691,0.0,559.6933,3344.7754,600.5387,3.7725798981009726e-05,0.0,0.424921818338117,0.285363676929942,0.3313856427378965,0.42247397428046546,0.5323752890650811,0.533119335347432,0.2642428785607196,2969.923
983,2020-08-01,Colombia,Net Electricity Production,173.5195,4570.8261,0.0,14.5604,4760.8471,1.9411,0.27373784159333026,0.1973521624007061,0.5774392803698304,0.020604640785363677,0.03862687813021703,0.7036129822412739,0.8359762140733399,0.884629909365559,0.4479010494752623,4587.3276000000005
984,2020-08-01,Croatia,Net Electricity Production,69.511,309.6931,0.0,11.0168,526.1101,131.0508,0.3793422880963409,0.22744924977934688,0.7012095936222793,3.4393128067826866e-05,0.001095575959933222,0.7395386813635436,0.6377601585728444,0.8797205438066464,0.1765367316341829,451.76070000000004
985,2020-08-01,Cyprus,Net Electricity Production,4.4175,0.0,0.0,32.6631,55.6096,18.5289,0.7716535433070866,0.7066784348337747,0.8845089724254719,0.0,0.0,0.8875280669524394,0.5672282788239181,0.9628021148036253,0.0013055972013993002,51.192
986,2020-08-01,Czech Republic,Net Electricity Production,386.359,281.861,0.0,275.9919,979.2846,35.0728,0.16371005094951366,0.06034127684613122,0.566362397353967,0.004339580544399822,0.01688230383973289,0.6674831598285366,0.616782292699042,0.794750755287009,0.20614692653673164,592.9257
987,2020-08-01,Denmark,Net Electricity Production,248.3937,0.8341,0.0,159.4734,1103.9842,695.2831,0.10951829550717924,0.022312444836716683,0.6060019813532459,0.010072512271307453,0.031573455759599335,0.642784241681976,0.7153947803105386,0.7779456193353473,0.11359320339830084,855.5906
988,2020-08-01,Estonia,Net Electricity Production,188.9947,0.7895,0.0,31.4135,247.7643,26.5666,0.02572950440018527,8.484848484848486e-05,0.5282050725647675,0.020203034359660865,0.05425709515859766,0.6046131863645643,0.7338949454905846,0.7509441087613293,0.11505497251374314,58.7696
989,2020-08-01,Finland,Net Electricity Production,798.1113,1049.8674,0.0,34.2256,2272.3138,390.1095,0.018837424733672996,0.00012141806413651075,0.46960241902032346,0.04206827309236948,0.08215776293823038,0.5850173504796898,0.7175421209117939,0.6995845921450151,0.0972263868065967,1474.2025
990,2020-08-01,France,Net Electricity Production,507.7153,3740.5613,39.6552,1563.6262,7916.138,2054.5799,0.2654006484483557,0.15928214180641367,0.6739764190587153,0.004330655957161982,0.013501669449081802,0.69912226985099,0.5279154278163197,0.8240181268882175,0.09832583708145927,7358.767400000001
991,2020-08-01,Germany,Net Electricity Production,3933.9673,1917.6506,0.0,5789.5078,18419.4659,6766.8069,0.2176933765632237,0.1208296557811121,0.5796877073472818,0.005061356537260152,0.01949081803005008,0.6811594202898552,0.5581433762801452,0.8089123867069485,0.1520489755122439,14473.9653
